S&P 500 Historical Price Data,,,,,,
Date,Price,Open,High,Low,Vol.,Change %
17/02/2010,"1,099.50","1,096.10","1,101.00","1,094.70",,0.42%
18/02/2010,"1,106.80","1,099.00","1,108.20","1,097.50",,0.66%
19/02/2010,"1,109.20","1,105.50","1,112.40","1,100.80",,0.22%
22/02/2010,"1,108.00","1,110.00","1,112.30","1,105.40",,-0.11%
23/02/2010,"1,094.60","1,107.50","1,108.60","1,092.20",,-1.21%
24/02/2010,"1,105.20","1,095.90","1,106.40","1,095.50",,0.97%
25/02/2010,"1,102.90","1,101.20","1,103.50","1,086.00",,-0.21%
26/02/2010,"1,104.50","1,103.10","1,107.20","1,097.60",,0.15%
01/03/2010,"1,115.70","1,105.40","1,116.10","1,105.40",,1.01%
02/03/2010,"1,118.30","1,117.00","1,123.50","1,116.50",,0.23%
03/03/2010,"1,118.80","1,119.40","1,125.60","1,116.60",,0.04%
04/03/2010,"1,123.00","1,119.10","1,123.70","1,116.70",,0.38%
05/03/2010,"1,138.70","1,125.10","1,139.40","1,125.10",,1.40%
08/03/2010,"1,138.50","1,138.40","1,141.00","1,136.80",,-0.02%
09/03/2010,"1,140.50","1,137.60","1,145.40","1,134.90",,0.18%
10/03/2010,"1,145.60","1,140.20","1,148.30","1,140.10",,0.45%
11/03/2010,"1,150.20","1,144.00","1,150.20","1,139.00",,0.40%
